frame_index,frame_label,structure_path,selection_score,vdw_total_score,surface_intermediate_score,water_dissociated_intermediate_score,interface_total,interface_organic_surface,interface_water_surface,interface_organic_water
3919,set_001__step_00196000,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00196000.cif,0.9889542156617463,85.974212,20.308686,0.133596,0.0,0.0,0.0,0.0
3697,set_001__step_00184900,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00184900.cif,0.986052039029272,86.818856,18.53778,0.655616,0.0,0.0,0.0,0.0
3978,set_001__step_00198950,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00198950.cif,0.9860270202651988,84.625024,17.364623,0.209018,0.0,0.0,0.0,0.0
3755,set_001__step_00187800,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00187800.cif,0.9854640980735551,85.178726,17.954154,0.981288,0.0,0.0,0.0,0.0
3894,set_001__step_00194750,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00194750.cif,0.9676382286715035,85.127439,17.367432,0.0,0.0,0.0,0.0,0.0
3934,set_001__step_00196750,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00196750.cif,0.9553915436577433,83.334688,16.341675,0.0,0.0,0.0,0.0,0.0
3084,set_001__step_00154250,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00154250.cif,0.9465474105579184,83.304787,18.013466,0.179441,0.0,0.0,0.0,0.0
3786,set_001__step_00189350,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00189350.cif,0.9402802101576182,83.349795,15.984091,0.0,0.0,0.0,0.0,0.0
2800,set_001__step_00140050,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00140050.cif,0.9325869402051539,82.590268,17.384765,0.653765,0.0,0.0,0.0,0.0
3459,set_001__step_00173000,/home/jovyan/AIMD-data/enol/vdw-cal/intermediates_enol2_H_dataset/cif_frames/set_001/step_00173000.cif,0.9310858143607704,82.359521,15.768506,0.077526,0.0,0.0,0.0,0.0
